Country,Investment,Percentage
Kenya, 1’538’451 ,11%
Nigeria, 327’732 ,2%
South Africa, 215’512 ,2%
Mauritius, 304’045 ,2%
Madagascar, 107’800 ,1%
Senegal, 232’123 ,2%
Colombia, 857’400 ,6%
El Salvador, 274’056 ,2%
Costa Rica, 480’000 ,4%
"Kenya, Uganda & Malawi", 412’103 ,3%
Brazil, 1’292’500 ,10%
Peru, 671’000 ,5%
Mexico, 495’000 ,4%
Rwanda, 30’242 ,0%
Uganda, 550’294 ,4%
Mozambique, 9’108 ,0%
Zambia, 5’337 ,0%
Zimbabwe, 71’425 ,1%
Tanzania, 15’089 ,0%
Sierra Leone, 308’652 ,2%
Malawi, 13’648 ,0%
Somalia, 296 ,0%
India, 1’159’888 ,9%
Philippines, 1’614’758 ,12%
Indonesia, 603’519 ,4%
Vietnam, 401’369 ,3%
Singapore, 101’200 ,1%
Thailand, 420’070 ,3%
Honduras, 244’800 ,2%
Dom. Republic, 211’200 ,2%
Panama, 120’000 ,1%
Kenya and Mauritius, 253’820 ,2%
Uruguay, 141’900 ,1%
Djibouti, 6’298 ,0%
